bound_pad,mode,n,relax_rate,runtime_s,sbert,rouge1,rouge2,rougeL,init_width,relaxed_width,bound_shift,relax_freq,num_relaxed
0.1,symmetric,250,0.004,0.426,0.8499,0.5326,0.3628,0.4007,1.5257,1.5264,0.0075,0.004,0.016
0.1,directional,250,0.004,1.1085,0.8499,0.5326,0.3628,0.4007,1.5257,1.5261,0.0038,0.004,0.016
0.1,feasopt,250,0.004,1.1084,0.85,0.5326,0.3628,0.4009,1.5257,1.5258,0.0008,0.004,0.012
-0.2,symmetric,250,0.188,3.5304,0.844,0.5178,0.3371,0.3775,0.7789,0.7995,0.206,0.344,0.308
-0.2,directional,250,0.188,3.5819,0.844,0.5178,0.3371,0.3775,0.7789,0.795,0.161,0.344,0.308
-0.2,feasopt,250,0.188,2.4177,0.8434,0.5152,0.3334,0.3739,0.7789,0.7829,0.0393,0.188,0.344
-0.3,symmetric,250,0.6,5.081,0.8418,0.5113,0.3237,0.3668,0.53,0.6099,0.7992,1.676,0.84
-0.3,directional,250,0.6,5.1492,0.8416,0.5097,0.3214,0.3646,0.53,0.6023,0.7231,1.676,0.84
-0.3,feasopt,250,0.6,5.8567,0.8343,0.5037,0.3125,0.3571,0.53,0.5536,0.2362,0.6,1.508
