bound_pad,mode,n,relax_rate,runtime_s,sbert,rouge1,rouge2,rougeL,init_width,relaxed_width,bound_shift,relax_freq,num_relaxed
0.1,symmetric,1,0.004,0.7359,0.8161,0.5104,0.3822,0.4323,1.5334,1.7197,1.8632,1.0,4.0
0.1,directional,1,0.004,1.7745,0.8161,0.5104,0.3822,0.4323,1.5334,1.6286,0.9523,1.0,4.0
0.1,feasopt,1,0.004,1.3722,0.8399,0.5147,0.3827,0.4611,1.5334,1.5523,0.1894,1.0,3.0
-0.2,symmetric,47,0.188,4.9215,0.8242,0.5019,0.3078,0.351,0.5465,0.6561,1.0957,1.8298,1.6383
-0.2,directional,47,0.188,5.3246,0.8242,0.5019,0.3078,0.351,0.5465,0.6322,0.8564,1.8298,1.6383
-0.2,feasopt,47,0.188,3.2133,0.8207,0.488,0.2885,0.3315,0.5465,0.5674,0.2089,1.0,1.8298
-0.3,symmetric,150,0.6,5.6966,0.8498,0.5111,0.3146,0.3591,0.4232,0.5564,1.332,2.7933,1.4
-0.3,directional,150,0.6,5.8131,0.8494,0.5085,0.3109,0.3556,0.4232,0.5437,1.2051,2.7933,1.4
-0.3,feasopt,150,0.6,7.2265,0.8373,0.4986,0.2961,0.3431,0.4232,0.4625,0.3936,1.0,2.5133
